year,month,peak,gain,price,steam_online
2022,12,138675.0,12979.00,4640,909421602
2022,11,133364.0,854.00,4736,852068535
2022,10,118874.0,-4189.00,4806,849997689
2022,9,127912.0,6891.00,5194,798181709
2022,8,134919.0,4222.00,4607,804512345
2022,7,137057.0,3145.00,4691,806821513
2022,6,165120.0,9056.00,4501,796942903
2022,5,133789.0,7785.00,5194,814688015
2022,4,141983.0,3368.00,5194,811476339
2022,3,134559.0,9218.00,5194,842232292
2022,2,164990.0,4364.00,5071,773919662
2022,1,154747.0,15327.00,4696,841556186
2021,12,125911.0,5954.00,4640,790841123
2021,11,120659.0,4093.00,4793,746857217
2021,10,106571.0,-3946.00,4972,761030927
2021,9,122359.0,-13829.00,4428,712688157
2021,8,155634.0,-9491.00,4100,742779745
2021,7,147757.0,12482.00,3637,728164057
2021,6,133566.0,2479.00,3621,725029145
2021,5,144083.0,-719.00,3925,763354617
2021,4,147933.0,-8779.00,4100,764329312
2021,3,176088.0,31372.00,4100,795249278
2021,2,224276.0,-24374.98,3906,710744828
2021,1,244394.0,80945.60,2834,764912073
2020,12,97445.0,5763.61,3663,742721118
2020,11,101365.0,6857.23,3784,676323499
2020,10,80422.0,2120.27,3969,677821596
2020,9,76611.0,-6857.11,4100,630276320
2020,8,89147.0,-4951.07,4100,617654552
2020,7,97741.0,7821.00,3438,614835056
2020,6,93513.0,-6926.93,3690,617667675
2020,5,102051.0,-10159.40,4100,690919844
2020,4,125415.0,9062.03,4100,707770424
2020,3,102296.0,8366.82,3637,614637525
2020,2,92016.0,-1545.19,4100,494362025
2020,1,97340.0,2525.55,3424,504227760
2019,12,81928.0,5586.88,2910,489960904
2019,11,74292.0,-3196.42,3322,444037585
2019,10,82827.0,-2931.73,3446,458972530
2019,9,80293.0,-8895.12,3600,443916276
2019,8,88929.0,-3728.72,3600,462667163
2019,7,93595.0,17127.39,2787,468667503
2019,6,81658.0,9351.90,3060,459967446
2019,5,67338.0,-2420.12,3600,475503683
2019,4,72544.0,-2524.51,3600,459882969
2019,3,77896.0,-1706.13,3600,475948889
2019,2,77622.0,-3769.88,3150,434108199
2019,1,85208.0,3579.02,3367,487744486
2018,12,70775.0,4915.93,2903,479130101
2018,11,70969.0,5886.14,3240,435691109
2018,10,58564.0,4501.02,3425,450878274
2018,9,48430.0,-4169.08,3600,444109147
2018,8,53885.0,-5170.92,3600,452335748
2018,7,65952.0,6350.30,3135,461230198
2018,6,54779.0,6415.11,2700,465287550
2018,5,46328.0,-2153.26,3600,474049371
2018,4,51233.0,-3027.77,3600,474062020
2018,3,57873.0,-4432.46,3600,510031006
2018,2,68204.0,-1161.53,3195,371090512
2018,1,67410.0,1694.81,1820,522357795
2017,12,60373.0,4826.77,1628,503638824
2017,11,57223.0,2386.73,1782,456531797
2017,10,49984.0,4165.09,1756,461639493
2017,9,40577.0,-3962.61,1980,413855215
2017,8,43117.0,-4005.08,1980,402100933
2017,7,53425.0,277.67,1788,397350674
2017,6,48228.0,3905.15,1683,384667873
2017,5,46948.0,-3208.53,1980,384904645
2017,4,53621.0,-3850.18,1980,372738458
2017,3,66194.0,-3964.56,1980,355283156
2017,2,68103.0,2403.64,1980,355481565
2017,1,63843.0,5024.99,1980,403770973
2016,12,49147.0,6095.72,1916,388609680
2016,11,47571.0,-1526.98,1980,364127062
2016,10,48435.0,-1863.62,1980,362204081
2016,9,50680.0,-4162.74,1980,338136102
2016,8,50364.0,-517.22,1980,339754591
2016,7,64555.0,5588.78,1820,346363534
2016,6,45791.0,-136.91,1726,342460460
2016,5,47100.0,-108.06,1980,349085617
2016,4,49920.0,-1661.66,1980,347096278
2016,3,55147.0,-5126.97,1980,351943255
2016,2,61260.0,4747.51,1732,332474919
2016,1,50628.0,9173.00,1820,354205980
2015,12,38110.0,5412.43,1660,319799868
2015,11,26697.0,-44.48,1849,312287411
2015,10,24201.0,695.25,1980,306848246
2015,9,24075.0,-2459.21,1980,285319406
2015,8,25352.0,1052.36,1980,280723676
2015,7,22622.0,82.06,1980,274316327
2015,6,27177.0,-84.17,1980,275398132
2015,5,25625.0,5683.08,1980,268017435
2015,4,16636.0,-133.76,1980,256307044
2015,3,16341.0,-1102.20,1980,260193756
2015,2,20267.0,-1218.37,1980,224509605
2015,1,22303.0,4439.66,1980,248142190
2014,12,11826.0,767.28,1980,229914135
2014,11,12062.0,-988.43,1980,212894074
2014,10,12294.0,25.86,1980,216669754
2014,9,11040.0,-2393.85,1980,202281291
2014,8,12764.0,-1391.93,1980,202543340
2014,7,15027.0,-1805.76,1980,209067723
2014,6,18081.0,-1212.72,1980,207131104
2014,5,24306.0,-4508.02,1980,200047568
2014,4,31321.0,-7215.16,1980,191717596
2014,3,48870.0,-9879.31,1980,203940245
2014,2,58973.0,9878.63,1980,187047218
2014,1,51872.0,15669.05,1980,215374048
