year,month,peak,gain,price,steam_online
2022,12,1065079.00,8319.00,0,909421602
2022,11,1129095.00,12656.50,0,852068535
2022,10,1078860.00,-10426.50,0,849997689
2022,9,1100366.00,-22668.70,0,798181709
2022,8,1039889.00,46991.70,0,804512345
2022,7,928329.00,22230.60,0,806821513
2022,6,906670.00,7260.80,0,796942903
2022,5,923996.00,-4021.50,0,814688015
2022,4,1013237.00,-12506.50,0,811476339
2022,3,987993.00,-53148.70,0,842232292
2022,2,995163.00,32262.10,0,773919662
2022,1,991625.00,55762.10,0,841556186
2021,12,950586.00,-1547.50,0,790841123
2021,11,935593.00,35725.80,0,746857217
2021,10,864966.00,84.90,0,761030927
2021,9,942519.00,269.00,0,712688157
2021,8,802544.00,6014.60,0,742779745
2021,7,763523.00,-43279.70,0,728164057
2021,6,929940.00,-110541.80,0,725029145
2021,5,1087197.00,-63457.60,0,763354617
2021,4,1148077.00,-17581.30,0,764329312
2021,3,1198581.00,-85.40,0,795249278
2021,2,1123485.00,-2196.42,0,710744828
2021,1,1124553.00,25405.91,0,764912073
2020,12,1164396.00,49049.17,0,742721118
2020,11,1037464.00,55087.89,0,676323499
2020,10,943876.00,6816.37,0,677821596
2020,9,977769.00,-33107.34,0,630276320
2020,8,925348.00,14056.85,0,617654552
2020,7,857560.00,-45746.65,0,614835056
2020,6,1009467.00,-97147.79,0,617667675
2020,5,1193359.00,-88808.97,0,690919844
2020,4,1305714.00,186570.94,0,707770424
2020,3,1145972.00,127054.13,0,614637525
2020,2,916996.00,42783.15,0,494362025
2020,1,817229.00,44494.44,0,504227760
2019,12,767060.00,30620.76,0,489960904
2019,11,758412.00,17085.5,0,444037585
2019,10,747937.00,-1930.29,0,458972530
2019,9,720052.00,-4171.7,0,443916276
2019,8,647461.00,21314.48,0,462667163
2019,7,578933.00,4406.1,0,468667503
2019,6,587724.00,24959.42,0,459967446
2019,5,588453.00,12427.39,0,475503683
2019,4,621614.00,-38250.24,0,459882969
2019,3,680071.00,18881.2,0,475948889
2019,2,654069.00,-30007.91,0,434108199
2019,1,684511.00,5857.61,0,487744486
2018,12,746548.00,85423.83,0,479130101
2018,11,546031.00,-15822.39,1368,435691109
2018,10,565968.00,-7256.17,1520,450878274
2018,9,583029.00,49632.68,1520,444109147
2018,8,454370.00,10224.05,1520,452335748
2018,7,426008.00,6445.02,1372,461230198
2018,6,420261.00,4691.36,1292,465287550
2018,5,454481.00,-26905.82,1520,474049371
2018,4,523262.00,-65193.64,1508,474062020
2018,3,672502.00,-28186.77,1480,510031006
2018,2,686588.00,426.57,1374,371090512
2018,1,715850.00,41153.65,1384,522357795
2017,12,598405.00,19745.48,1274,503638824
2017,11,601881.00,-20729.86,1382,456531797
2017,10,639968.00,-12540.83,1480,461639493
2017,9,665371.00,-20023.6,1480,413855215
2017,8,595781.00,-3163.35,1480,402100933
2017,7,624785.00,3201,1369,397350674
2017,6,614621.00,2558.7,1333,384667873
2017,5,692966.00,-20369.85,1480,384904645
2017,4,709841.00,5290.47,1480,372738458
2017,3,742356.00,-15476.99,1480,355283156
2017,2,744468.00,9276.18,1480,355481565
2017,1,814616.00,50913.83,1416,403770973
2016,12,662460.00,13150.44,1306,388609680
2016,11,627124.00,-4031.2,1365,364127062
2016,10,661985.00,10550.57,1480,362204081
2016,9,638360.00,-24703.36,1480,338136102
2016,8,599095.00,-6548.31,1480,339754591
2016,7,636056.00,19466.5,1360,346363534
2016,6,579110.00,-4427.34,1282,342460460
2016,5,668612.00,-37057.47,1480,349085617
2016,4,850485.00,-3631.08,1480,347096278
2016,3,737599.00,3141.92,1480,351943255
2016,2,738969.00,10913.93,1295,332474919
2016,1,667432.00,-12076.02,1360,354205980
2015,12,823694.00,16521.23,1193,319799868
2015,11,786707.00,-1840.21,1332,312287411
2015,10,732093.00,6860.76,1480,306848246
2015,9,725939.00,-1629.91,1480,285319406
2015,8,819902.00,28002.87,1336,280723676
2015,7,541181.00,-14623.63,1480,274316327
2015,6,610401.00,26869.72,1208,275398132
2015,5,677701.00,25537.55,1480,268017435
2015,4,568556.00,23752.43,1480,256307044
2015,3,595439.00,28061.68,1360,260193756
2015,2,455508.00,5863.96,1480,224509605
2015,1,443188.00,50481.18,1408,248142190
2014,12,367634.00,36260.43,1219,229914135
2014,11,348018.00,13791.37,115,212894074
2014,10,260613.00,2503.02,0,216669754
2014,9,242494.00,-2151.11,0,202281291
2014,8,277192.00,27047.79,0,202543340
2014,7,193613.00,21974.38,0,209067723
2014,6,164134.00,-761.4,0,207131104
2014,5,170137.00,6044.49,0,200047568
2014,4,142526.00,8737.2,0,191717596
2014,3,164495.00,10351.96,0,203940245
2014,2,119764.00,4164.01,0,187047218
2014,1,102084.00,8839.08,0,215374048
2013,12,96298.00,16897.75,0,210575680
2013,11,92279.00,1988.38,0,192019520
2013,10,53263.00,223.23,0,187793453
2013,9,52052.00,1717.06,0,180492592
2013,8,50511.00,5469.33,0,163625706
2013,7,42149.00,2372.68,0,159243497
2013,6,33700.00,-590.5,0,147325090
2013,5,53379.00,2704.34,0,152520560
2013,4,31966.00,46.11,0,150894913
2013,3,32166.00,-1412.84,0,159335892
2013,2,35238.00,1208.51,0,156301691
2013,1,31359.00,2084.83,0,189534301
