year,month,steam_online
2022,12,909421602
2022,11,852068535
2022,10,849997689
2022,9,798181709
2022,8,804512345
2022,7,806821513
2022,6,796942903
2022,5,814688015
2022,4,811476339
2022,3,842232292
2022,2,773919662
2022,1,841556186
2021,12,790841123
2021,11,746857217
2021,10,761030927
2021,9,712688157
2021,8,742779745
2021,7,728164057
2021,6,725029145
2021,5,763354617
2021,4,764329312
2021,3,795249278
2021,2,710744828
2021,1,764912073
2020,12,742721118
2020,11,676323499
2020,10,677821596
2020,9,630276320
2020,8,617654552
2020,7,614835056
2020,6,617667675
2020,5,690919844
2020,4,707770424
2020,3,614637525
2020,2,494362025
2020,1,504227760
2019,12,489960904
2019,11,444037585
2019,10,458972530
2019,9,443916276
2019,8,462667163
2019,7,468667503
2019,6,459967446
2019,5,475503683
2019,4,459882969
2019,3,475948889
2019,2,434108199
2019,1,487744486
2018,12,479130101
2018,11,435691109
2018,10,450878274
2018,9,444109147
2018,8,452335748
2018,7,461230198
2018,6,465287550
2018,5,474049371
2018,4,474062020
2018,3,510031006
2018,2,371090512
2018,1,522357795
2017,12,503638824
2017,11,456531797
2017,10,461639493
2017,9,413855215
2017,8,402100933
2017,7,397350674
2017,6,384667873
2017,5,384904645
2017,4,372738458
2017,3,355283156
2017,2,355481565
2017,1,403770973
2016,12,388609680
2016,11,364127062
2016,10,362204081
2016,9,338136102
2016,8,339754591
2016,7,346363534
2016,6,342460460
2016,5,349085617
2016,4,347096278
2016,3,351943255
2016,2,332474919
2016,1,354205980
2015,12,319799868
2015,11,312287411
2015,10,306848246
2015,9,285319406
2015,8,280723676
2015,7,274316327
2015,6,275398132
2015,5,268017435
2015,4,256307044
2015,3,260193756
2015,2,224509605
2015,1,248142190
2014,12,229914135
2014,11,212894074
2014,10,216669754
2014,9,202281291
2014,8,202543340
2014,7,209067723
2014,6,207131104
2014,5,200047568
2014,4,191717596
2014,3,203940245
2014,2,187047218
2014,1,215374048
2013,12,210575680
2013,11,192019520
2013,10,187793453
2013,9,180492592
2013,8,163625706
2013,7,159243497
2013,6,147325090
2013,5,152520560
2013,4,150894913
2013,3,159335892
2013,2,156301691
2013,1,189534301
